djse001.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse002.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse003.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse004.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse005.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse006.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse007.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse008.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse009.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse010.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse011.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse012.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse013.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse014.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse015.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse016.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse017.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse018.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse019.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse020.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse021.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse022.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse023.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse024.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse025.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse026.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse027.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse028.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse029.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse030.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djse031.adx:      CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
