djv001_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv001_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv001_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv001_04.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv001_05.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv001_06.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv001_07.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv001_08.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv001_09.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv001_10.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv001_11.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv001_12.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv001_13.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv001_14.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv001_15.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv001_16.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv001_17.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv002_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv002_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv002_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv002_04.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv003.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv004.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv005_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv005_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv006.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv007.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv008.adx:     CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv009_01.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv009_02.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv009_03.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv009_04.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv009_05.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
djv009_06.adx:  CRI ADX ADPCM audio v3, standard ADX, 22050 Hz
